YEAR MON  SSN   DEV
1758  2  52.0  22.8
1758  3  49.0  22.1
1758  4  72.3  27.1
1758  5  46.4  21.5
1758  6  45.0  21.1
1758  7  44.0  20.9
1758  8  38.7  19.5
1758  9  62.5  25.1
1758 10  37.7  19.3
1758 11  43.0  20.6
1758 12  43.0  20.6
1759  1  48.3  21.9
1759  2  44.0  20.9
1759  3  46.8  21.6
1759  4  47.0  21.6
1759  5  49.0  22.1
1759  6  50.0  22.3
1759  7  51.0  22.6
1759  8  71.3  26.9
1759  9  77.2  28.0
1759 10  59.7  24.5
1759 11  46.3  21.5
1759 12  57.0  23.9
1760  1  67.3  26.1
1760  2  59.5  24.5
1760  3  74.7  27.5
1760  4  58.3  24.2
1760  5  72.0  27.0
1760  6  48.3  21.9
1760  7  66.0  25.8
1760  8  75.6  27.7
1760  9  61.3  24.8
1760 10  50.6  22.5
1760 11  59.7  24.5
1760 12  61.0  24.8
1761  1  70.0  26.6
1761  2  91.0  30.5
1761  3  80.7  28.6
1761  4  71.7  26.9
1761  5 107.2  33.2
1761  6  99.3  31.9
1761  7  94.1  31.0
1761  8  91.1  30.5
1761  9 100.7  32.1
1761 10  88.7  30.1
1761 11  89.7  30.3
1761 12  46.0  21.4
1762  1  43.8  20.8
1762  2  72.8  27.2
1762  3  45.7  21.3
1762  4  60.2  24.6
1762  5  39.9  19.8
1762  6  77.1  28.0
1762  7  33.8  18.2
1762  8  67.7  26.2
1762  9  68.5  26.3
1762 10  69.3  26.5
1762 11  77.8  28.1
1762 12  77.2  28.0
1763  1  56.5  23.8
1763  2  31.9  17.6
1763  3  34.2  18.3
1763  4  32.9  17.9
1763  5  32.7  17.9
1763  6  35.8  18.7
1763  7  54.2  23.3
1763  8  26.5  16.0
1763  9  68.1  26.2
1763 10  46.3  21.5
1763 11  60.9  24.8
1763 12  61.4  24.9
1764  1  59.7  24.5
1764  2  59.7  24.5
1764  3  40.2  19.9
1764  4  34.4  18.4
1764  5  44.3  21.0
1764  6  30.0  17.1
1764  7  30.0  17.1
1764  8  30.0  17.1
1764  9  28.2  16.5
1764 10  28.0  16.5
1764 11  26.0  15.8
1764 12  25.7  15.7
1765  1  24.0  15.2
1765  2  26.0  15.8
1765  3  25.0  15.5
1765  4  22.0  14.5
1765  5  20.2  13.8
1765  6  20.0  13.8
1765  7  27.0  16.1
1765  8  29.7  17.0
1765  9  16.0  12.2
1765 10  14.0  11.3
1765 11  14.0  11.3
1765 12  13.0  10.9
1766  1  12.0  10.4
1766  2  11.0   9.9
1766  3  36.6  19.0
1766  4   6.0   7.1
1766  5  26.8  16.1
1766  6   3.0   4.7
1766  7   3.3   5.0
1766  8   4.0   5.6
1766  9   4.3   5.8
1766 10   5.0   6.4
1766 11   5.7   6.9
1766 12  19.2  13.5
1767  1  27.4  16.3
1767  2  30.0  17.1
1767  3  43.0  20.6
1767  4  32.9  17.9
1767  5  29.8  17.0
1767  6  33.3  18.0
1767  7  21.9  14.4
1767  8  40.8  20.1
1767  9  42.7  20.6
1767 10  44.1  20.9
1767 11  54.7  23.4
1767 12  53.3  23.1
1768  1  53.5  23.1
1768  2  66.1  25.8
1768  3  46.3  21.5
1768  4  42.7  20.6
1768  5  77.7  28.1
1768  6  77.4  28.0
1768  7  52.6  22.9
1768  8  66.8  26.0
1768  9  74.8  27.5
1768 10  77.8  28.1
1768 11  90.6  30.4
1768 12 111.8  33.9
1769  1  73.9  27.4
1769  2  64.2  25.4
1769  3  64.3  25.5
1769  4  96.7  31.5
1769  5  73.6  27.3
1769  6  94.4  31.1
1769  7 118.6  34.9
1769  8 120.3  35.2
1769  9 148.8  39.3
1769 10 158.2  40.5
1769 11 148.1  39.2
1769 12 112.0  33.9
1770  1 104.0  32.7
1770  2 142.5  38.4
1770  3  80.1  28.5
1770  4  51.0  22.6
1770  5  70.1  26.6
1770  6  83.3  29.1
1770  7 109.8  33.6
1770  8 126.3  36.1
1770  9 104.4  32.7
1770 10 103.6  32.6
1770 11 132.2  36.9
1770 12 102.3  32.4
1771  1  36.0  18.8
1771  2  46.2  21.4
1771  3  46.7  21.6
1771  4  64.9  25.6
1771  5 152.7  39.8
1771  6 119.5  35.1
1771  7  67.7  26.2
1771  8  58.5  24.2
1771  9 101.4  32.2
1771 10  90.0  30.3
1771 11  99.7  32.0
1771 12  95.7  31.3
1772  1 100.9  32.1
1772  2  90.8  30.4
1772  3  31.1  17.4
1772  4  92.2  30.7
1772  5  38.0  19.3
1772  6  57.0  23.9
1772  7  77.3  28.0
1772  8  56.2  23.7
1772  9  50.5  22.5
1772 10  78.6  28.3
1772 11  61.3  24.8
1772 12  64.0  25.4
1773  1  54.6  23.4
1773  2  29.0  16.8
1773  3  51.2  22.6
1773  4  32.9  17.9
1773  5  41.1  20.2
1773  6  28.4  16.6
1773  7  27.7  16.4
1773  8  12.7  10.8
1773  9  29.3  16.9
1773 10  26.3  15.9
1773 11  40.9  20.1
1773 12  43.2  20.7
1774  1  46.8  21.6
1774  2  65.4  25.7
1774  3  55.7  23.6
1774  4  43.8  20.8
1774  5  51.3  22.6
1774  6  28.5  16.6
1774  7  17.5  12.8
1774  8   6.6   7.5
1774  9   7.9   8.3
1774 10  14.0  11.3
1774 11  17.7  12.9
1774 12  12.2  10.5
1775  1   4.4   5.9
1775  2   0.0   1.0
1775  3  11.6  10.2
1775  4  11.2  10.0
1775  5   3.9   5.5
1775  6  12.3  10.6
1775  7   1.0   2.3
1775  8   7.9   8.3
1775  9   3.2   4.9
1775 10   5.6   6.8
1775 11  15.1  11.8
1775 12   7.9   8.3
1776  1  21.7  14.4
1776  2  11.6  10.2
1776  3   6.3   7.3
1776  4  21.8  14.4
1776  5  11.2  10.0
1776  6  19.0  13.4
1776  7   1.0   2.3
1776  8  24.2  15.2
1776  9  16.0  12.2
1776 10  30.0  17.1
1776 11  35.0  18.5
1776 12  40.0  19.9
1777  1  45.0  21.1
1777  2  36.5  18.9
1777  3  39.0  19.6
1777  4  95.5  31.2
1777  5  80.3  28.6
1777  6  80.7  28.6
1777  7  95.0  31.2
1777  8 112.0  33.9
1777  9 116.2  34.6
1777 10 106.5  33.1
1777 11 146.0  38.9
1777 12 157.3  40.4
1778  1 177.3  42.9
1778  2 109.3  33.5
1778  3 134.0  37.2
1778  4 145.0  38.7
1778  5 238.9  50.0
1778  6 171.6  42.2
1778  7 153.0  39.8
1778  8 140.0  38.0
1778  9 171.7  42.2
1778 10 156.3  40.3
1778 11 150.3  39.5
1778 12 105.0  32.8
1779  1 114.7  34.3
1779  2 165.7  41.5
1779  3 118.0  34.8
1779  4 145.0  38.7
1779  5 140.0  38.0
1779  6 113.7  34.2
1779  7 143.0  38.5
1779  8 112.0  33.9
1779  9 111.0  33.8
1779 10 124.0  35.7
1779 11 114.0  34.2
1779 12 110.0  33.6
1780  1  70.0  26.6
1780  2  98.0  31.7
1780  3  98.0  31.7
1780  4  95.0  31.2
1780  5 107.2  33.2
1780  6  88.0  30.0
1780  7  86.0  29.6
1780  8  86.0  29.6
1780  9  93.7  30.9
1780 10  77.0  28.0
1780 11  60.0  24.6
1780 12  58.7  24.3
1781  1  98.7  31.8
1781  2  74.7  27.5
1781  3  53.0  23.0
1781  4  68.3  26.3
1781  5 104.7  32.8
1781  6  97.7  31.6
1781  7  73.5  27.3
1781  8  66.0  25.8
1781  9  51.0  22.6
1781 10  27.3  16.2
1781 11  67.0  26.0
1781 12  35.2  18.6
1782  1  54.0  23.2
1782  2  37.5  19.2
1782  3  37.0  19.1
1782  4  41.0  20.1
1782  5  54.3  23.3
1782  6  38.0  19.3
1782  7  37.0  19.1
1782  8  44.0  20.9
1782  9  34.0  18.2
1782 10  23.2  14.9
1782 11  31.5  17.5
1782 12  30.0  17.1
1783  1  28.0  16.5
1783  2  38.7  19.5
1783  3  26.7  16.1
1783  4  28.3  16.6
1783  5  23.0  14.8
1783  6  25.2  15.6
1783  7  32.2  17.7
1783  8  20.0  13.8
1783  9  18.0  13.0
1783 10   8.0   8.3
1783 11  15.0  11.8
1783 12  10.5   9.7
1784  1  13.0  10.9
1784  2   8.0   8.3
1784  3  11.0   9.9
1784  4  10.0   9.4
1784  5   6.0   7.1
1784  6   9.0   8.9
1784  7   6.0   7.1
1784  8  10.0   9.4
1784  9  10.0   9.4
1784 10   8.0   8.3
1784 11  17.0  12.6
1784 12  14.0  11.3
1785  1   6.5   7.4
1785  2   8.0   8.3
1785  3   9.0   8.9
1785  4  15.7  12.1
1785  5  20.7  14.0
1785  6  26.3  15.9
1785  7  36.3  18.9
1785  8  20.0  13.8
1785  9  32.0  17.7
1785 10  47.2  21.7
1785 11  40.2  19.9
1785 12  27.3  16.2
1786  1  37.2  19.1
1786  2  47.6  21.8
1786  3  47.7  21.8
1786  4  85.4  29.5
1786  5  92.3  30.7
1786  6  59.0  24.3
1786  7  83.0  29.1
1786  8  89.7  30.3
1786  9 111.5  33.8
1786 10 112.3  34.0
1786 11 116.0  34.5
1786 12 112.7  34.0
1787  1 134.7  37.3
1787  2 106.0  33.0
1787  3  87.4  29.9
1787  4 127.2  36.2
1787  5 134.8  37.3
1787  6  99.2  31.9
1787  7 128.0  36.3
1787  8 137.2  37.7
1787  9 157.3  40.4
1787 10 157.0  40.3
1787 11 141.5  38.3
1787 12 174.0  42.5
1788  1 138.0  37.8
1788  2 129.2  36.5
1788  3 143.3  38.5
1788  4 108.5  33.4
1788  5 113.0  34.1
1788  6 154.2  40.0
1788  7 141.5  38.3
1788  8 136.0  37.5
1788  9 141.0  38.2
1788 10 142.0  38.3
1788 11  94.7  31.1
1788 12 129.5  36.6
1789  1 114.0  34.2
1789  2 125.3  35.9
1789  3 120.0  35.1
1789  4 123.3  35.6
1789  5 123.5  35.7
1789  6 120.0  35.1
1789  7 117.0  34.7
1789  8 103.0  32.5
1789  9 112.0  33.9
1789 10  89.7  30.3
1789 11 134.0  37.2
1789 12 135.5  37.4
1790  1 103.0  32.5
1790  2 127.5  36.3
1790  3  96.3  31.4
1790  4  94.0  31.0
1790  5  93.0  30.8
1790  6  91.0  30.5
1790  7  69.3  26.5
1790  8  87.0  29.8
1790  9  77.3  28.0
1790 10  84.3  29.3
1790 11  82.0  28.9
1790 12  74.0  27.4
1791  1  72.7  27.1
1791  2  62.0  25.0
1791  3  74.0  27.4
1791  4  77.2  28.0
1791  5  73.7  27.3
1791  6  64.2  25.4
1791  7  71.0  26.8
1791  8  43.0  20.6
1791  9  66.5  25.9
1791 10  61.7  24.9
1791 11  67.0  26.0
1791 12  66.0  25.8
1792  1  58.0  24.1
1792  2  64.0  25.4
1792  3  63.0  25.2
1792  4  75.7  27.7
1792  5  62.0  25.0
1792  6  61.0  24.8
1792  7  45.8  21.3
1792  8  60.0  24.6
1792  9  59.0  24.3
1792 10  59.0  24.3
1792 11  57.0  23.9
1792 12  56.0  23.7
1793  1  56.0  23.7
1793  2  55.0  23.5
1793  3  55.5  23.6
1793  4  53.0  23.0
1793  5  52.3  22.9
1793  6  51.0  22.6
1793  7  50.0  22.3
1793  8  29.3  16.9
1793  9  24.0  15.2
1793 10  47.0  21.6
1793 11  44.0  20.9
1793 12  45.7  21.3
1794  1  45.0  21.1
1794  2  44.0  20.9
1794  3  38.0  19.3
1794  4  28.4  16.6
1794  5  55.7  23.6
1794  6  41.5  20.3
1794  7  41.0  20.1
1794  8  40.0  19.9
1794  9  11.1  10.0
1794 10  28.5  16.6
1794 11  67.4  26.1
1794 12  51.4  22.7
1795  1  21.4  14.3
1795  2  39.9  19.8
1795  3  12.6  10.7
1795  4  18.6  13.2
1795  5  31.0  17.4
1795  6  17.1  12.6
1795  7  12.9  10.9
1795  8  25.7  15.7
1795  9  13.5  11.1
1795 10  19.5  13.6
1795 11  25.0  15.5
1795 12  18.0  13.0
1796  1  22.0  14.5
1796  2  23.8  15.1
1796  3  15.7  12.1
1796  4  31.7  17.6
1796  5  21.0  14.1
1796  6   6.7   7.5
1796  7  26.9  16.1
1796  8   1.5   3.0
1796  9  18.4  13.2
1796 10  11.0   9.9
1796 11   8.4   8.6
1796 12   5.1   6.5
1797  1  14.4  11.5
1797  2   4.2   5.8
1797  3   4.0   5.6
1797  4   4.0   5.6
1797  5   7.3   7.9
1797  6  11.1  10.0
1797  7   4.3   5.8
1797  8   6.0   7.1
1797  9   5.7   6.9
1797 10   6.9   7.7
1797 11   5.8   6.9
1797 12   3.0   4.7
1798  1   2.0   3.7
1798  2   4.0   5.6
1798  3  12.4  10.6
1798  4   1.1   2.5
1798  5   0.0   1.0
1798  6   0.0   1.0
1798  7   0.0   1.0
1798  8   3.0   4.7
1798  9   2.4   4.1
1798 10   1.5   3.0
1798 11  12.5  10.7
1798 12   9.9   9.4
1799  1   1.6   3.2
1799  2  12.6  10.7
1799  3  21.7  14.4
1799  4   8.4   8.6
1799  5   8.2   8.4
1799  6  10.6   9.7
1799  7   2.1   3.8
1799  8   0.0   1.0
1799  9   0.0   1.0
1799 10   4.6   6.1
1799 11   2.7   4.4
1799 12   8.6   8.7
1800  1   6.9   7.7
1800  2   9.3   9.1
1800  3  13.9  11.3
1800  4   0.0   1.0
1800  5   5.0   6.4
1800  6  23.7  15.1
1800  7  21.0  14.1
1800  8  19.5  13.6
1800  9  11.5  10.2
1800 10  12.3  10.6
1800 11  10.5   9.7
1800 12  40.1  19.9
1801  1  27.0  16.1
1801  2  29.0  16.8
1801  3  30.0  17.1
1801  4  31.0  17.4
1801  5  32.0  17.7
1801  6  31.2  17.4
1801  7  35.0  18.5
1801  8  38.7  19.5
1801  9  33.5  18.1
1801 10  32.6  17.8
1801 11  39.8  19.8
1801 12  48.2  21.9
1802  1  47.8  21.8
1802  2  47.0  21.6
1802  3  40.8  20.1
1802  4  42.0  20.4
1802  5  44.0  20.9
1802  6  46.0  21.4
1802  7  48.0  21.9
1802  8  50.0  22.3
1802  9  51.8  22.8
1802 10  38.5  19.5
1802 11  34.5  18.4
1802 12  50.0  22.3
1803  1  50.0  22.3
1803  2  50.8  22.5
1803  3  29.5  16.9
1803  4  25.0  15.5
1803  5  44.3  21.0
1803  6  36.0  18.8
1803  7  48.3  21.9
1803  8  34.1  18.3
1803  9  45.3  21.2
1803 10  54.3  23.3
1803 11  51.0  22.6
1803 12  48.0  21.9
1804  1  45.3  21.2
1804  2  48.3  21.9
1804  3  48.0  21.9
1804  4  50.6  22.5
1804  5  33.4  18.1
1804  6  34.8  18.5
1804  7  29.8  17.0
1804  8  43.1  20.7
1804  9  53.0  23.0
1804 10  62.3  25.0
1804 11  61.0  24.8
1804 12  60.0  24.6
1805  1  61.0  24.8
1805  2  44.1  20.9
1805  3  51.4  22.7
1805  4  37.5  19.2
1805  5  39.0  19.6
1805  6  40.5  20.0
1805  7  37.6  19.2
1805  8  42.7  20.6
1805  9  44.4  21.0
1805 10  29.4  16.9
1805 11  41.0  20.1
1805 12  38.3  19.4
1806  1  39.0  19.6
1806  2  29.6  17.0
1806  3  32.7  17.9
1806  4  27.7  16.4
1806  5  26.4  16.0
1806  6  25.6  15.7
1806  7  30.0  17.1
1806  8  26.3  15.9
1806  9  24.0  15.2
1806 10  27.0  16.1
1806 11  25.0  15.5
1806 12  24.0  15.2
1807  1  12.0  10.4
1807  2  12.2  10.5
1807  3   9.6   9.2
1807  4  23.8  15.1
1807  5  10.0   9.4
1807  6  12.0  10.4
1807  7  12.7  10.8
1807  8  12.0  10.4
1807  9   5.7   6.9
1807 10   8.0   8.3
1807 11   2.6   4.3
1807 12   0.0   1.0
1808  1   0.0   1.0
1808  2   4.5   6.0
1808  3   0.0   1.0
1808  4  12.3  10.6
1808  5  13.5  11.1
1808  6  13.5  11.1
1808  7   6.7   7.5
1808  8   8.0   8.3
1808  9  11.7  10.3
1808 10   4.7   6.2
1808 11  10.5   9.7
1808 12  12.3  10.6
1809  1   7.2   7.9
1809  2   9.2   9.0
1809  3   0.9   2.1
1809  4   2.5   4.2
1809  5   2.0   3.7
1809  6   7.7   8.2
1809  7   0.3   0.8
1809  8   0.2   0.5
1809  9   0.4   1.1
1809 10   0.0   1.0
1809 11   0.0   1.0
1809 12   0.0   1.0
1810  1   0.0   1.0
1810  2   0.0   1.0
1810  3   0.0   1.0
1810  4   0.0   1.0
1810  5   0.0   1.0
1810  6   0.0   1.0
1810  7   0.0   1.0
1810  8   0.0   1.0
1810  9   0.0   1.0
1810 10   0.0   1.0
1810 11   0.0   1.0
1810 12   0.0   1.0
1811  1   0.0   1.0
1811  2   0.0   1.0
1811  3   0.0   1.0
1811  4   0.0   1.0
1811  5   0.0   1.0
1811  6   0.0   1.0
1811  7   6.6   7.5
1811  8   0.0   1.0
1811  9   2.4   4.1
1811 10   6.1   7.2
1811 11   0.8   2.0
1811 12   1.1   2.5
1812  1  11.3  10.1
1812  2   1.9   3.5
1812  3   0.7   1.8
1812  4   0.0   1.0
1812  5   1.0   2.3
1812  6   1.3   2.8
1812  7   0.5   1.3
1812  8  15.6  12.0
1812  9   5.2   6.5
1812 10   3.9   5.5
1812 11   7.9   8.3
1812 12  10.1   9.5
1813  1   0.0   1.0
1813  2  10.3   9.6
1813  3   1.9   3.5
1813  4  16.6  12.4
1813  5   5.5   6.7
1813  6  11.2  10.0
1813  7  18.3  13.1
1813  8   8.4   8.6
1813  9  15.3  11.9
1813 10  27.8  16.4
1813 11  16.7  12.5
1813 12  14.3  11.5
1814  1  22.2  14.5
1814  2  12.0  10.4
1814  3   5.7   6.9
1814  4  23.8  15.1
1814  5   5.8   6.9
1814  6  14.9  11.7
1814  7  18.5  13.2
1814  8   2.3   4.0
1814  9   8.1   8.4
1814 10  19.3  13.5
1814 11  14.5  11.6
1814 12  20.1  13.8
1815  1  19.2  13.5
1815  2  32.2  17.7
1815  3  26.2  15.9
1815  4  31.6  17.6
1815  5   9.8   9.3
1815  6  55.9  23.7
1815  7  35.5  18.7
1815  8  47.2  21.7
1815  9  31.5  17.5
1815 10  33.5  18.1
1815 11  37.2  19.1
1815 12  65.0  25.6
1816  1  26.3  15.9
1816  2  68.8  26.4
1816  3  73.7  27.3
1816  4  58.8  24.3
1816  5  44.3  21.0
1816  6  43.6  20.8
1816  7  38.8  19.6
1816  8  23.2  14.9
1816  9  47.8  21.8
1816 10  56.4  23.8
1816 11  38.1  19.4
1816 12  29.9  17.0
1817  1  36.4  18.9
1817  2  57.9  24.1
1817  3  96.2  31.4
1817  4  26.4  16.0
1817  5  21.2  14.2
1817  6  40.0  19.9
1817  7  50.0  22.3
1817  8  45.0  21.1
1817  9  36.7  19.0
1817 10  25.6  15.7
1817 11  28.9  16.7
1817 12  28.4  16.6
1818  1  34.9  19.8
1818  2  22.4  32.8
1818  3  25.4  14.7
1818  4  34.5  11.4
1818  5  53.1  28.8
1818  6  36.4  18.2
1818  7  28.0  11.5
1818  8  31.5  15.6
1818  9  26.1  14.9
1818 10  31.6  26.3
1818 11  10.9   8.3
1818 12  25.8  22.6
1819  1  32.8  12.3
1819  2  20.7  14.3
1819  3   3.7   6.0
1819  4  20.2  18.0
1819  5  19.6  17.2
1819  6  35.0  17.8
1819  7  31.4  21.7
1819  8  26.1  20.4
1819  9  14.9  15.0
1819 10  27.5  13.2
1819 11  25.1  26.7
1819 12  30.6  10.1
1820  1  19.2  18.6
1820  2  26.6  11.4
1820  3   4.5  11.2
1820  4  19.4  17.4
1820  5  29.4  15.4
1820  6  10.8  14.2
1820  7  20.6  18.3
1820  8  25.9   9.0
1820  9   5.2   7.7
1820 10   8.9  15.0
1820 11   7.9   9.0
1820 12   9.1  14.4
1821  1  21.5   9.9
1821  2   4.2  10.7
1821  3   5.7   8.0
1821  4   9.2  11.3
1821  5   1.7   4.7
1821  6   1.8   5.4
1821  7   2.5   7.0
1821  8   4.8   7.4
1821  9   4.4   9.1
1821 10  18.9  12.4
1821 11   4.4   9.5
1821 12   0.3   1.4
1822  1   0.0   0.0
1822  2   0.9   4.7
1822  3  16.1  13.3
1822  4  13.0  11.7
1822  5   1.5   5.6
1822  6   5.6  10.7
1822  7   8.0  13.8
1822  8   2.1   6.8
1822  9   0.0   0.0
1822 10   0.4   2.0
1822 11   0.0   0.0
1822 12   0.0   0.0
1823  1   0.0   0.0
1823  2   0.0   0.0
1823  3   0.6   3.2
1823  4   0.0   0.0
1823  5   0.0   0.0
1823  6   0.0   0.0
1823  7   0.5   2.2
1823  8   0.0   0.0
1823  9   0.0   0.0
1823 10   0.0   0.0
1823 11   0.0   0.0
1823 12  20.4   4.1
1824  1  21.7   1.2
1824  2   0.0   0.0
1824  3   0.0   0.0
1824  4  19.4   9.4
1824  5   2.8   7.6
1824  6   0.0   0.0
1824  7   0.0   0.0
1824  8   1.4   5.4
1824  9  20.5  20.4
1824 10  25.2  13.1
1824 11   0.0   0.0
1824 12   0.9   2.9
1825  1   5.0  10.9
1825  2  15.5  20.1
1825  3  22.4  25.3
1825  4   3.8   8.4
1825  5  15.5   4.8
1825  6  15.4  11.2
1825  7  30.9  20.6
1825  8  25.7  18.1
1825  9  15.7  14.9
1825 10  15.6  15.1
1825 11  11.7  10.8
1825 12  22.0  20.1
1826  1  17.7  12.3
1826  2  18.2  10.2
1826  3  36.7  14.0
1826  4  24.0  17.2
1826  5  32.4  15.3
1826  6  37.1  20.7
1826  7  52.5  21.6
1826  8  39.6  31.0
1826  9  18.9  18.7
1826 10  50.6  16.3
1826 11  39.5  31.9
1826 12  68.1  37.4
1827  1  34.6  23.0
1827  2  47.4  23.7
1827  3  57.8  22.6
1827  4  46.0  15.7
1827  5  56.3  21.1
1827  6  56.7  28.1
1827  7  42.3  20.7
1827  8  53.7  17.6
1827  9  49.6  19.2
1827 10  56.1  20.5
1827 11  48.3  26.6
1827 12  46.1  17.6
1828  1  52.8  29.7
1828  2  64.4  12.2
1828  3  65.0  26.7
1828  4  61.1  31.3
1828  5  89.1  28.3
1828  6  98.0  44.2
1828  7  54.2  29.3
1828  8  76.5  25.3
1828  9  50.4  20.1
1828 10  54.7  28.7
1828 11  57.0  22.3
1828 12  46.9  22.8
1829  1  43.0  12.0
1829  2  49.4  22.3
1829  3  72.3  22.1
1829  4  95.0  28.3
1829  5  67.4  34.1
1829  6  73.9  41.8
1829  7  90.9  26.1
1829  8  77.6  30.6
1829  9  52.8  26.4
1829 10  57.2  17.5
1829 11  67.6  27.4
1829 12  56.5  22.3
1830  1  52.2  33.9
1830  2  72.1  25.4
1830  3  84.7  23.1
1830  4 106.3  30.5
1830  5  66.3  25.3
1830  6  65.1  18.8
1830  7  43.9  16.9
1830  8  50.7  24.3
1830  9  62.1  16.9
1830 10  84.4  22.6
1830 11  81.3  17.7
1830 12  82.2  17.0
1831  1  47.5  36.6
1831  2  50.1  32.7
1831  3  93.4  24.5
1831  4  54.5  20.8
1831  5  38.1  20.9
1831  6  33.4  21.1
1831  7  45.2  29.8
1831  8  55.0  23.1
1831  9  37.9  17.2
1831 10  46.3  20.0
1831 11  43.5  13.2
1831 12  28.9  17.5
1832  1  30.9  24.3
1832  2  55.6  22.5
1832  3  55.1  20.4
1832  4  26.9  16.5
1832  5  41.3  15.9
1832  6  26.7  10.7
1832  7  14.0  12.9
1832  8   8.9  10.6
1832  9   8.2   9.7
1832 10  21.1  10.0
1832 11  14.3  11.9
1832 12  27.5  19.9
1833  1  11.3  17.1
1833  2  15.0  15.9
1833  3  11.8  12.1
1833  4   2.8   6.0
1833  5  12.9  10.6
1833  6   1.0   3.8
1833  7   7.0   9.2
1833  8   5.7   9.0
1833  9  11.6  17.2
1833 10   7.5  11.4
1833 11   5.9   7.2
1833 12   9.9   8.1
1834  1   4.9   8.7
1834  2  18.1  12.9
1834  3   3.9   8.4
1834  4   1.4   5.1
1834  5   8.8   9.9
1834  6   7.8   8.8
1834  7   8.7  10.9
1834  8   4.0   7.2
1834  9  11.5   7.8
1834 10  24.8  19.8
1834 11  30.5  28.7
1834 12  34.5  25.8
1835  1   7.5  11.0
1835  2  24.5  12.0
1835  3  19.7  14.6
1835  4  61.5  19.0
1835  5  43.6  32.0
1835  6  33.2  14.4
1835  7  59.8  23.1
1835  8  59.0   5.7
1835  9 100.8  26.0
1835 10  95.2  44.8
1835 11 100.0  33.0
1835 12  77.5  29.6
1836  1  88.6  27.1
1836  2 107.6  34.0
1836  3  98.2  42.4
1836  4 142.9  30.2
1836  5 111.4  22.1
1836  6 124.7  33.8
1836  7 116.7  35.1
1836  8 107.8  26.2
1836  9  95.1  45.0
1836 10 137.4  70.7
1836 11 120.9  39.7
1836 12 206.3  10.8
1837  1 188.0  36.0
1837  2 175.6  47.7
1837  3 134.6  18.0
1837  4 138.2  39.0
1837  5 111.7  37.7
1837  6 158.0  34.5
1837  7 162.8  35.5
1837  8 134.0  27.6
1837  9  96.3  22.8
1837 10 123.7  36.3
1837 11 107.0  36.2
1837 12 129.8  53.8
1838  1 144.9  71.2
1838  2  84.8  45.7
1838  3 140.8  46.9
1838  4 126.6  44.2
1838  5 137.6  20.7
1838  6  94.5  32.3
